,Parabacteroides distasonis ATCC 8503_0.01.pkl,Bifidobacterium longum strain DSM 20219_0.01.pkl,Ruminococcus gnavus ATCC 29149_0.01.pkl
P. distasonis_gapfilled_0,"{'EX_cpd00635_e': 0.020546098726918142, 'EX_cpd00023_e': 0.020546098726648587, 'EX_cpd11595_e': 0.020546098726918142, 'EX_cpd00154_e': 0.020546098726918142, 'EX_cpd08306_e': 0.020546098726918142, 'EX_cpd00309_e': 0.020546098726918142, 'EX_cpd00540_e': 0.020546098726918142, 'EX_cpd11597_e': 0.020546098726918142, 'EX_cpd08305_e': 0.020546098726918142, 'EX_cpd00396_e': 0.020546098726918142, 'EX_cpd00039_e': 0.020546098726918142, 'EX_cpd00011_e': 0.020546098726879212, 'EX_cpd00322_e': 0.020546098726837003, 'EX_cpd00111_e': 0.020546098726837003, 'EX_cpd00028_e': 0.020546098726837003, 'EX_cpd01188_e': 0.020546098726837003, 'EX_cpd00357_e': 0.020546098726897787, 'EX_cpd03847_e': 0.020546098726837003, 'EX_cpd01080_e': 0.020546098726837003, 'EX_cpd00010_e': 0.020546098726837003, 'EX_cpd00264_e': 0.020546098726837003, 'EX_cpd11606_e': 0.020546098726837003, 'EX_cpd00305_e': 0.020546098726837003, 'EX_cpd00129_e': 0.020546098726864234, 'EX_cpd00367_e': 0.020546098726918142}",,
P. distasonis_gapfilled_1,"{'EX_cpd00635_e': 0.04109219745379554, 'EX_cpd00023_e': 0.04109219745379554, 'EX_cpd11595_e': 0.04109219745379554, 'EX_cpd00154_e': 0.04109219745379554, 'EX_cpd08306_e': 0.04109219745379554, 'EX_cpd00309_e': 0.04109219745379554, 'EX_cpd00540_e': 0.04109219745379554, 'EX_cpd11597_e': 0.04109219745379554, 'EX_cpd08305_e': 0.04109219745379554, 'EX_cpd00396_e': 0.04109219745379554, 'EX_cpd00039_e': 0.04109219745379554, 'EX_cpd00011_e': 0.04109219745379554, 'EX_cpd00322_e': 0.04109219745379554, 'EX_cpd00111_e': 0.04109219745379554, 'EX_cpd00028_e': 0.04109219745379554, 'EX_cpd01188_e': 0.04109219745379554, 'EX_cpd00357_e': 0.041092197453795554, 'EX_cpd03847_e': 0.04109219745379554, 'EX_cpd01080_e': 0.04109219745379554, 'EX_cpd00010_e': 0.04109219745379554, 'EX_cpd00264_e': 0.04109219745379554, 'EX_cpd11606_e': 0.04109219745379554, 'EX_cpd00305_e': 0.04109219745379554, 'EX_cpd00129_e': 0.04109219745379554, 'EX_cpd00367_e': 0.04109219745379554}",,
P. distasonis_gapfilled_2,"{'EX_cpd00635_e': 0.0410921974536216, 'EX_cpd00023_e': 0.04109219745279677, 'EX_cpd11595_e': 0.0410921974536216, 'EX_cpd00154_e': 0.0410921974536216, 'EX_cpd08306_e': 0.0410921974536216, 'EX_cpd00309_e': 0.0410921974536216, 'EX_cpd00540_e': 0.0410921974536216, 'EX_cpd11597_e': 0.0410921974536216, 'EX_cpd08305_e': 0.0410921974536216, 'EX_cpd00396_e': 0.0410921974536216, 'EX_cpd00039_e': 0.0410921974536216, 'EX_cpd00011_e': 0.04109219745425546, 'EX_cpd00322_e': 0.04109219745435298, 'EX_cpd00111_e': 0.04109219745435298, 'EX_cpd00028_e': 0.04109219745435298, 'EX_cpd01188_e': 0.04109219745435298, 'EX_cpd00357_e': 0.0410921974538135, 'EX_cpd03847_e': 0.04109219745435298, 'EX_cpd01080_e': 0.04109219745435298, 'EX_cpd00010_e': 0.04109219745435298, 'EX_cpd00264_e': 0.04109219745435298, 'EX_cpd11606_e': 0.04109219745435298, 'EX_cpd00305_e': 0.04109219745435298, 'EX_cpd00129_e': 0.04109219745435298, 'EX_cpd00367_e': 0.0410921974536216}",,
P. distasonis_gapfilled_3,"{'EX_cpd00635_e': 0.041092197453795574, 'EX_cpd00023_e': 0.041092197454684266, 'EX_cpd11595_e': 0.041092197453795574, 'EX_cpd00154_e': 0.041092197453808654, 'EX_cpd08306_e': 0.041092197454149736, 'EX_cpd00309_e': 0.041092197454149736, 'EX_cpd00540_e': 0.041092197454149736, 'EX_cpd11597_e': 0.041092197454149736, 'EX_cpd08305_e': 0.041092197454149736, 'EX_cpd00396_e': 0.041092197454149736, 'EX_cpd00039_e': 0.041092197454149736, 'EX_cpd00011_e': 0.04109219745341237, 'EX_cpd00322_e': 0.0410921974534631, 'EX_cpd00111_e': 0.0410921974534631, 'EX_cpd00028_e': 0.0410921974534631, 'EX_cpd01188_e': 0.0410921974534631, 'EX_cpd00357_e': 0.041092197453795574, 'EX_cpd03847_e': 0.0410921974534631, 'EX_cpd01080_e': 0.0410921974534631, 'EX_cpd00010_e': 0.0410921974534631, 'EX_cpd00264_e': 0.0410921974534631, 'EX_cpd11606_e': 0.0410921974534631, 'EX_cpd00305_e': 0.0410921974534631, 'EX_cpd00129_e': 0.0410921974534631, 'EX_cpd00367_e': 0.041092197453795574}",,
P. distasonis_gapfilled_4,"{'EX_cpd00635_e': 0.04109219745379558, 'EX_cpd00023_e': 0.04109219745380234, 'EX_cpd11595_e': 0.04109219745379558, 'EX_cpd00154_e': 0.04109219745379558, 'EX_cpd08306_e': 0.04109219745379558, 'EX_cpd00309_e': 0.04109219745379558, 'EX_cpd00540_e': 0.04109219745379558, 'EX_cpd11597_e': 0.04109219745379558, 'EX_cpd08305_e': 0.04109219745379558, 'EX_cpd00396_e': 0.04109219745379558, 'EX_cpd00039_e': 0.04109219745379558, 'EX_cpd00011_e': 0.04109219745379558, 'EX_cpd00322_e': 0.04109219745379558, 'EX_cpd00111_e': 0.04109219745379558, 'EX_cpd00028_e': 0.04109219745379558, 'EX_cpd01188_e': 0.04109219745379558, 'EX_cpd00357_e': 0.04109219745379548, 'EX_cpd03847_e': 0.04109219745379558, 'EX_cpd01080_e': 0.04109219745379558, 'EX_cpd00010_e': 0.04109219745379558, 'EX_cpd00264_e': 0.04109219745379558, 'EX_cpd11606_e': 0.04109219745379558, 'EX_cpd00305_e': 0.04109219745379558, 'EX_cpd00129_e': 0.04109219745379558, 'EX_cpd00367_e': 0.04109219745379558}",,
P. distasonis_gapfilled_5,"{'EX_cpd00635_e': 0.04109219745371559, 'EX_cpd00023_e': 0.041092197453787664, 'EX_cpd11595_e': 0.04109219745371559, 'EX_cpd00154_e': 0.04109219745371559, 'EX_cpd08306_e': 0.04109219745371559, 'EX_cpd00309_e': 0.04109219745371559, 'EX_cpd00540_e': 0.04109219745371559, 'EX_cpd11597_e': 0.04109219745371559, 'EX_cpd08305_e': 0.04109219745371559, 'EX_cpd00396_e': 0.04109219745371559, 'EX_cpd00039_e': 0.04109219745371559, 'EX_cpd00011_e': 0.041092197453795574, 'EX_cpd00322_e': 0.041092197453795574, 'EX_cpd00111_e': 0.041092197453795574, 'EX_cpd00028_e': 0.041092197453795574, 'EX_cpd01188_e': 0.041092197453795574, 'EX_cpd00357_e': 0.041092197453415656, 'EX_cpd03847_e': 0.041092197453795574, 'EX_cpd01080_e': 0.041092197453795574, 'EX_cpd00010_e': 0.041092197453795574, 'EX_cpd00264_e': 0.041092197453795574, 'EX_cpd11606_e': 0.041092197453795574, 'EX_cpd00305_e': 0.041092197453795574, 'EX_cpd00129_e': 0.041092197453795574, 'EX_cpd00367_e': 0.04109219745371559}",,
P. distasonis_gapfilled_6,"{'EX_cpd00635_e': 0.04109219745379557, 'EX_cpd00023_e': 0.04109219745379557, 'EX_cpd11595_e': 0.04109219745379557, 'EX_cpd00154_e': 0.04109219745379557, 'EX_cpd08306_e': 0.041092197453795574, 'EX_cpd00309_e': 0.041092197453795574, 'EX_cpd00540_e': 0.041092197453795574, 'EX_cpd11597_e': 0.041092197453795574, 'EX_cpd08305_e': 0.041092197453795574, 'EX_cpd00396_e': 0.041092197453795574, 'EX_cpd00039_e': 0.041092197453795574, 'EX_cpd00011_e': 0.041092197453795574, 'EX_cpd00322_e': 0.04109219745379558, 'EX_cpd00111_e': 0.04109219745379558, 'EX_cpd00028_e': 0.04109219745379558, 'EX_cpd01188_e': 0.04109219745379558, 'EX_cpd00357_e': 0.04109219745379557, 'EX_cpd03847_e': 0.04109219745379558, 'EX_cpd01080_e': 0.04109219745379558, 'EX_cpd00010_e': 0.04109219745379558, 'EX_cpd00264_e': 0.04109219745379558, 'EX_cpd11606_e': 0.04109219745379558, 'EX_cpd00305_e': 0.04109219745379558, 'EX_cpd00129_e': 0.04109219745380642, 'EX_cpd00367_e': 0.04109219745379557}",,
P. distasonis_gapfilled_7,"{'EX_cpd00635_e': 0.041092197457611015, 'EX_cpd00023_e': 0.0410921974543217, 'EX_cpd11595_e': 0.041092197457611015, 'EX_cpd00154_e': 0.04109219745434833, 'EX_cpd08306_e': 0.041092197457611015, 'EX_cpd00309_e': 0.041092197457611015, 'EX_cpd00540_e': 0.041092197457611015, 'EX_cpd11597_e': 0.041092197457611015, 'EX_cpd08305_e': 0.041092197457611015, 'EX_cpd00396_e': 0.041092197457611015, 'EX_cpd00039_e': 0.041092197457611015, 'EX_cpd00011_e': 0.041092197457611015, 'EX_cpd00322_e': 0.041092197457611015, 'EX_cpd00111_e': 0.041092197457611015, 'EX_cpd00028_e': 0.041092197457611015, 'EX_cpd01188_e': 0.041092197457611015, 'EX_cpd00357_e': 0.041092197457611015, 'EX_cpd03847_e': 0.041092197457611015, 'EX_cpd01080_e': 0.041092197457611015, 'EX_cpd00010_e': 0.041092197457611015, 'EX_cpd00264_e': 0.041092197457611015, 'EX_cpd11606_e': 0.041092197457611015, 'EX_cpd00305_e': 0.041092197457611015, 'EX_cpd00129_e': 0.041092197451841415, 'EX_cpd00367_e': 0.041092197457611015}",,
P. distasonis_gapfilled_8,"{'EX_cpd00635_e': 0.041092197453794554, 'EX_cpd00023_e': 0.04109219745374929, 'EX_cpd11595_e': 0.041092197453794554, 'EX_cpd00154_e': 0.04109219745353243, 'EX_cpd08306_e': 0.04109219745408734, 'EX_cpd00309_e': 0.04109219745408734, 'EX_cpd00540_e': 0.04109219745408734, 'EX_cpd11597_e': 0.04109219745408734, 'EX_cpd08305_e': 0.04109219745408734, 'EX_cpd00396_e': 0.04109219745408734, 'EX_cpd00039_e': 0.04109219745408734, 'EX_cpd00011_e': 0.04109219745326821, 'EX_cpd00322_e': 0.04109219745325808, 'EX_cpd00111_e': 0.04109219745325808, 'EX_cpd00028_e': 0.04109219745325808, 'EX_cpd01188_e': 0.04109219745325808, 'EX_cpd00357_e': 0.04109219745377395, 'EX_cpd03847_e': 0.04109219745325808, 'EX_cpd01080_e': 0.04109219745325808, 'EX_cpd00010_e': 0.04109219745325808, 'EX_cpd00264_e': 0.04109219745325808, 'EX_cpd11606_e': 0.04109219745325808, 'EX_cpd00305_e': 0.04109219745325808, 'EX_cpd00129_e': 0.04109219745332751, 'EX_cpd00367_e': 0.041092197453794554}",,
P. distasonis_gapfilled_9,"{'EX_cpd00635_e': 0.04109219745379557, 'EX_cpd00023_e': 0.04109219745381, 'EX_cpd11595_e': 0.04109219745379557, 'EX_cpd00154_e': 0.04109219745379557, 'EX_cpd08306_e': 0.041092197453795574, 'EX_cpd00309_e': 0.041092197453795574, 'EX_cpd00540_e': 0.041092197453795574, 'EX_cpd11597_e': 0.041092197453795574, 'EX_cpd08305_e': 0.041092197453795574, 'EX_cpd00396_e': 0.041092197453795574, 'EX_cpd00039_e': 0.041092197453795574, 'EX_cpd00011_e': 0.041092197453795574, 'EX_cpd00322_e': 0.04109219745379557, 'EX_cpd00111_e': 0.04109219745379557, 'EX_cpd00028_e': 0.04109219745379557, 'EX_cpd01188_e': 0.04109219745379557, 'EX_cpd00357_e': 0.04109219745491301, 'EX_cpd03847_e': 0.04109219745379557, 'EX_cpd01080_e': 0.04109219745379557, 'EX_cpd00010_e': 0.04109219745379557, 'EX_cpd00264_e': 0.04109219745379557, 'EX_cpd11606_e': 0.04109219745379557, 'EX_cpd00305_e': 0.04109219745379557, 'EX_cpd00129_e': 0.0410921974538026, 'EX_cpd00367_e': 0.04109219745379557}",,
