,Bacteroides vulgatus ATCC 8482_0.4.pkl,Lactobacillus plantarum WCFS1_0.4.pkl
B. vulgatus_gapfilled_0,"{'EX_cpd00635_e': 0.26456010692596515, 'EX_cpd00023_e': 0.26456010681773506, 'EX_cpd00224_e': 0.26456010681773506, 'EX_cpd11595_e': 0.26456010692596515, 'EX_cpd01217_e': 0.2645601068292547, 'EX_cpd00027_e': 0.26456010692753784, 'EX_cpd01171_e': 0.2645601069259426, 'EX_cpd00154_e': 0.2645601069259426, 'EX_cpd08306_e': 0.2645601069259426, 'EX_cpd00164_e': 0.2645601069259426, 'EX_cpd00309_e': 0.2645601069259426, 'EX_cpd00280_e': 0.2645601069259426, 'EX_cpd00108_e': 0.2645601069259426, 'EX_cpd00159_e': 0.2645601067256763, 'EX_cpd00540_e': 0.2645601069259426, 'EX_cpd11597_e': 0.2645601069259426, 'EX_cpd08305_e': 0.2645601069259426, 'EX_cpd00396_e': 0.2645601069259426, 'EX_cpd00039_e': 0.2645601069259426, 'EX_cpd00011_e': 0.2645601069259426, 'EX_cpd00322_e': 0.26456010678324715, 'EX_cpd00111_e': 0.26456010678324715, 'EX_cpd00028_e': 0.2645601069259426, 'EX_cpd00066_e': 0.26456010673551084, 'EX_cpd01188_e': 0.2645601069259426, 'EX_cpd00357_e': 0.26456010683188846, 'EX_cpd00136_e': 0.2645601069259426, 'EX_cpd03847_e': 0.30800630911277627, 'EX_cpd01080_e': 0.2645601067835119, 'EX_cpd03422_e': 0.2645601069259426, 'EX_cpd00010_e': 0.2645601069259426, 'EX_cpd00264_e': 0.26456010678324715, 'EX_cpd11606_e': 0.26456010678324715, 'EX_cpd00069_e': 0.2645601069259426, 'EX_cpd00060_e': 0.2645601069259426, 'EX_cpd00305_e': 0.26456010678324715}",
B. vulgatus_gapfilled_1,"{'EX_cpd00635_e': 0.19725252891855677, 'EX_cpd00023_e': 0.1972525289183362, 'EX_cpd00224_e': 0.19725252891847092, 'EX_cpd11595_e': 0.19725252891855677, 'EX_cpd01217_e': 0.19725252891733322, 'EX_cpd00027_e': 0.19725252891855002, 'EX_cpd01171_e': 0.19725252891858672, 'EX_cpd00154_e': 0.1972525289185088, 'EX_cpd08306_e': 0.19725252891858672, 'EX_cpd00164_e': 0.19725252891858672, 'EX_cpd00309_e': 0.19725252891858672, 'EX_cpd00280_e': 0.19725252891858672, 'EX_cpd00108_e': 0.19725252891858672, 'EX_cpd00159_e': 0.19725252891853592, 'EX_cpd00540_e': 0.19725252891858672, 'EX_cpd11597_e': 0.19725252891858672, 'EX_cpd08305_e': 0.19725252891858672, 'EX_cpd00396_e': 0.19725252891858672, 'EX_cpd00039_e': 0.19725252891858672, 'EX_cpd00011_e': 0.19725252891858672, 'EX_cpd00322_e': 0.19725252891861458, 'EX_cpd00111_e': 0.19725252891858672, 'EX_cpd00028_e': 0.19725252891858672, 'EX_cpd00066_e': 0.19725252891858672, 'EX_cpd01188_e': 0.19725252891858672, 'EX_cpd00357_e': 0.19725252891848907, 'EX_cpd00136_e': 0.19725252891858672, 'EX_cpd03847_e': 0.19725252891858672, 'EX_cpd01080_e': 0.5139715310280677, 'EX_cpd03422_e': 0.19725252891858672, 'EX_cpd00010_e': 0.19725252891858672, 'EX_cpd00264_e': 0.19725252891861458, 'EX_cpd11606_e': 0.19725252891861458, 'EX_cpd00069_e': 0.19725252891858672, 'EX_cpd00060_e': 0.1972525289167933, 'EX_cpd00305_e': 0.19725252891861458}",
B. vulgatus_gapfilled_2,"{'EX_cpd00635_e': 0.9016601964504798, 'EX_cpd00023_e': 0.9016601964505946, 'EX_cpd00224_e': 0.9016601964514155, 'EX_cpd11595_e': 0.9016601964504798, 'EX_cpd01217_e': 0.9016601964504943, 'EX_cpd00027_e': 0.9016601964505054, 'EX_cpd01171_e': 0.9016601964504798, 'EX_cpd00154_e': 0.9016601964505118, 'EX_cpd08306_e': 0.9016601964504798, 'EX_cpd00164_e': 0.9016601964504798, 'EX_cpd00309_e': 0.9016601964504798, 'EX_cpd00280_e': 0.9016601964504798, 'EX_cpd00108_e': 0.9016601964504798, 'EX_cpd00159_e': 0.9016601964504941, 'EX_cpd00540_e': 0.9016601964504798, 'EX_cpd11597_e': 0.9016601964504798, 'EX_cpd08305_e': 0.9016601964504798, 'EX_cpd00396_e': 0.9016601964504798, 'EX_cpd00039_e': 0.9016601964504798, 'EX_cpd00011_e': 0.9016601964504798, 'EX_cpd00322_e': 0.9016601964474042, 'EX_cpd00111_e': 0.9016601964500367, 'EX_cpd00028_e': 0.9016601964504798, 'EX_cpd00066_e': 0.9016601964504798, 'EX_cpd01188_e': 0.9016601964514434, 'EX_cpd00357_e': 1.1883133482456136, 'EX_cpd00136_e': 0.9016601964504798, 'EX_cpd03847_e': 0.9016601964504798, 'EX_cpd01080_e': 0.9016601964504798, 'EX_cpd03422_e': 0.9016601964504798, 'EX_cpd00010_e': 0.9016601964504798, 'EX_cpd00264_e': 0.9016601964504798, 'EX_cpd11606_e': 0.9016601964504798, 'EX_cpd00069_e': 0.9016601964504798, 'EX_cpd00060_e': 0.9016601964504798, 'EX_cpd00305_e': 0.9016601964504798}",
B. vulgatus_gapfilled_3,"{'EX_cpd00635_e': 0.9016601964504947, 'EX_cpd00023_e': 0.9016601964504021, 'EX_cpd00224_e': 0.9016601966739518, 'EX_cpd11595_e': 0.9016601964504947, 'EX_cpd01217_e': 0.9016601966723152, 'EX_cpd00027_e': 0.9016601964504947, 'EX_cpd01171_e': 0.9016601964504947, 'EX_cpd00154_e': 0.9016601964504947, 'EX_cpd08306_e': 0.9016601964504947, 'EX_cpd00164_e': 0.9016601964504947, 'EX_cpd00309_e': 0.9016601964504947, 'EX_cpd00280_e': 0.9016601964504947, 'EX_cpd00108_e': 0.9016601964504947, 'EX_cpd00159_e': 0.9016601964521376, 'EX_cpd00540_e': 0.9016601964504947, 'EX_cpd11597_e': 0.9016601964504947, 'EX_cpd08305_e': 0.9016601964504947, 'EX_cpd00396_e': 0.9016601964504947, 'EX_cpd00039_e': 0.9016601964504947, 'EX_cpd00011_e': 0.9016601964504947, 'EX_cpd00322_e': 0.9016601964504947, 'EX_cpd00111_e': 0.9016601964504947, 'EX_cpd00028_e': 0.9016601964504947, 'EX_cpd00066_e': 0.9016601964504947, 'EX_cpd01188_e': 0.9016601964504947, 'EX_cpd00357_e': 1.1883133482466055, 'EX_cpd00136_e': 0.9016601964504947, 'EX_cpd03847_e': 0.9016601964504947, 'EX_cpd01080_e': 0.9016601964504947, 'EX_cpd03422_e': 0.9016601964504947, 'EX_cpd00010_e': 0.9016601964504947, 'EX_cpd00264_e': 0.9016601964504947, 'EX_cpd11606_e': 0.9016601964504947, 'EX_cpd00069_e': 0.9016601964504947, 'EX_cpd00060_e': 0.9016601964504947, 'EX_cpd00305_e': 0.9016601964504947}",
B. vulgatus_gapfilled_4,"{'EX_cpd00635_e': 0.9016601964504934, 'EX_cpd00023_e': 0.9016601964505657, 'EX_cpd00224_e': 0.9016601964505657, 'EX_cpd11595_e': 0.9016601964504934, 'EX_cpd01217_e': 0.9016601964505657, 'EX_cpd00027_e': 0.9016601964502997, 'EX_cpd01171_e': 0.901660196450398, 'EX_cpd00154_e': 0.9016601964507062, 'EX_cpd08306_e': 0.9016601964498756, 'EX_cpd00164_e': 0.9016601964498756, 'EX_cpd00309_e': 0.9016601964500065, 'EX_cpd00280_e': 0.9016601964498756, 'EX_cpd00108_e': 0.9016601964498756, 'EX_cpd00159_e': 0.9016601964505657, 'EX_cpd00540_e': 0.9016601964498756, 'EX_cpd11597_e': 0.9016601964498756, 'EX_cpd08305_e': 0.9016601964498756, 'EX_cpd00396_e': 0.9016601964498756, 'EX_cpd00039_e': 0.9016601964498756, 'EX_cpd00011_e': 0.9016601964498756, 'EX_cpd00322_e': 0.9016601964505485, 'EX_cpd00111_e': 0.901660196450494, 'EX_cpd00028_e': 0.901660196450494, 'EX_cpd00066_e': 0.901660196450494, 'EX_cpd01188_e': 0.901660196450494, 'EX_cpd00357_e': 1.024896009861538, 'EX_cpd00136_e': 0.901660196450494, 'EX_cpd03847_e': 0.901660196450494, 'EX_cpd01080_e': 0.901660196450494, 'EX_cpd03422_e': 0.901660196450494, 'EX_cpd00010_e': 0.901660196450494, 'EX_cpd00264_e': 0.901660196450494, 'EX_cpd11606_e': 0.901660196450494, 'EX_cpd00069_e': 0.901660196450494, 'EX_cpd00060_e': 0.901660196450494, 'EX_cpd00305_e': 0.901660196450494}",
B. vulgatus_gapfilled_5,"{'EX_cpd00635_e': 0.11128615819209077, 'EX_cpd00023_e': 0.11128615819231392, 'EX_cpd00224_e': 0.11128615819209234, 'EX_cpd11595_e': 0.11128615819209077, 'EX_cpd01217_e': 0.11128615758465782, 'EX_cpd00027_e': 0.11128615819209077, 'EX_cpd01171_e': 0.11128615819209077, 'EX_cpd00154_e': 0.11128615819209077, 'EX_cpd08306_e': 0.11128615819209077, 'EX_cpd00164_e': 0.11128615819209077, 'EX_cpd00309_e': 0.11128615819209077, 'EX_cpd00280_e': 0.11128615819209077, 'EX_cpd00108_e': 0.11128615819209077, 'EX_cpd00159_e': 0.11128616691540082, 'EX_cpd00540_e': 0.11128615819209077, 'EX_cpd11597_e': 0.11128615819209077, 'EX_cpd08305_e': 0.11128615819209077, 'EX_cpd00396_e': 0.11128615819209077, 'EX_cpd00039_e': 0.11128615819209077, 'EX_cpd00011_e': 0.11128615819209077, 'EX_cpd00322_e': 0.1112861581913473, 'EX_cpd00111_e': 0.11128615819150829, 'EX_cpd00028_e': 0.11128615819209077, 'EX_cpd00066_e': 0.11128615819150829, 'EX_cpd01188_e': 0.11128615819209077, 'EX_cpd00357_e': 0.11128616691540082, 'EX_cpd00136_e': 0.11128615819209077, 'EX_cpd03847_e': 0.9016601964489104, 'EX_cpd01080_e': 0.11128615819150829, 'EX_cpd03422_e': 0.11128615819209077, 'EX_cpd00010_e': 0.11128615819209077, 'EX_cpd00264_e': 0.11128615819150829, 'EX_cpd11606_e': 0.11128615819201482, 'EX_cpd00069_e': 0.11128615819209077, 'EX_cpd00060_e': 0.11128615819209077, 'EX_cpd00305_e': 0.11128615819150829}",
B. vulgatus_gapfilled_6,"{'EX_cpd00635_e': 0.9016601964504947, 'EX_cpd00023_e': 0.9016601964508265, 'EX_cpd00224_e': 0.9016601964510997, 'EX_cpd11595_e': 0.9016601964504947, 'EX_cpd01217_e': 0.9016601964566165, 'EX_cpd00027_e': 0.9016601964504947, 'EX_cpd01171_e': 0.9016601964504947, 'EX_cpd00154_e': 0.9016601964504947, 'EX_cpd08306_e': 0.9016601964504947, 'EX_cpd00164_e': 0.9016601964504947, 'EX_cpd00309_e': 0.9016601964504947, 'EX_cpd00280_e': 0.9016601964504947, 'EX_cpd00108_e': 0.9016601964504947, 'EX_cpd00159_e': 0.9016601964480566, 'EX_cpd00540_e': 0.9016601964504947, 'EX_cpd11597_e': 0.9016601964504947, 'EX_cpd08305_e': 0.9016601964504947, 'EX_cpd00396_e': 0.9016601964504947, 'EX_cpd00039_e': 0.9016601964504947, 'EX_cpd00011_e': 0.9016601964504947, 'EX_cpd00322_e': 0.9016601964504947, 'EX_cpd00111_e': 0.9016601964504947, 'EX_cpd00028_e': 0.9016601964504947, 'EX_cpd00066_e': 0.9016601964504947, 'EX_cpd01188_e': 0.9016601964504947, 'EX_cpd00357_e': 1.024896009861046, 'EX_cpd00136_e': 0.9016601964504947, 'EX_cpd03847_e': 0.9016601964504947, 'EX_cpd01080_e': 0.9016601964504947, 'EX_cpd03422_e': 0.9016601964504947, 'EX_cpd00010_e': 0.9016601964504947, 'EX_cpd00264_e': 0.9016601964504947, 'EX_cpd11606_e': 0.9016601964504947, 'EX_cpd00069_e': 0.9016601964504947, 'EX_cpd00060_e': 0.9016601964504947, 'EX_cpd00305_e': 0.9016601964504947}",
B. vulgatus_gapfilled_7,"{'EX_cpd00635_e': 0.9016601964504947, 'EX_cpd00023_e': 0.9016601964503588, 'EX_cpd00224_e': 0.9016601964503588, 'EX_cpd11595_e': 0.9016601964504947, 'EX_cpd01217_e': 0.9016601964342991, 'EX_cpd00027_e': 0.9016601964504947, 'EX_cpd01171_e': 0.9016601964504947, 'EX_cpd00154_e': 0.9016601964504947, 'EX_cpd08306_e': 0.9016601964504947, 'EX_cpd00164_e': 0.9016601964504947, 'EX_cpd00309_e': 0.9016601964504947, 'EX_cpd00280_e': 0.9016601964504947, 'EX_cpd00108_e': 0.9016601964504947, 'EX_cpd00159_e': 0.9016601964504947, 'EX_cpd00540_e': 0.9016601964504947, 'EX_cpd11597_e': 0.9016601964504947, 'EX_cpd08305_e': 0.9016601964504947, 'EX_cpd00396_e': 0.9016601964504947, 'EX_cpd00039_e': 0.9016601964504947, 'EX_cpd00011_e': 0.9016601964504947, 'EX_cpd00322_e': 0.9016601964504947, 'EX_cpd00111_e': 0.9016601964504947, 'EX_cpd00028_e': 0.9016601964504947, 'EX_cpd00066_e': 0.9016601964504947, 'EX_cpd01188_e': 0.9016601964504947, 'EX_cpd00357_e': 2.1572974358974264, 'EX_cpd00136_e': 0.9016601964504947, 'EX_cpd03847_e': 0.9016601964504947, 'EX_cpd01080_e': 0.9016601964504947, 'EX_cpd03422_e': 0.9016601964504947, 'EX_cpd00010_e': 0.9016601964504947, 'EX_cpd00264_e': 0.9016601964504947, 'EX_cpd11606_e': 0.9016601964504947, 'EX_cpd00069_e': 0.9016601964504947, 'EX_cpd00060_e': 0.9016601964504947, 'EX_cpd00305_e': 0.9016601964504947}",
B. vulgatus_gapfilled_8,"{'EX_cpd00635_e': 0.10496449638942984, 'EX_cpd00023_e': 0.10496449638894213, 'EX_cpd00224_e': 0.10496449638894213, 'EX_cpd11595_e': 0.10496449638942984, 'EX_cpd01217_e': 0.10496449638956618, 'EX_cpd00027_e': 0.10496449638964131, 'EX_cpd01171_e': 0.10496449638942984, 'EX_cpd00154_e': 0.10496449638942984, 'EX_cpd08306_e': 0.10496449638942984, 'EX_cpd00164_e': 0.10496449638942984, 'EX_cpd00309_e': 0.10496449638942984, 'EX_cpd00280_e': 0.10496449638942984, 'EX_cpd00108_e': 0.10496449638942984, 'EX_cpd00159_e': 0.10496449638936979, 'EX_cpd00540_e': 0.10496449638942984, 'EX_cpd11597_e': 0.10496449638942984, 'EX_cpd08305_e': 0.10496449638942984, 'EX_cpd00396_e': 0.10496449638942984, 'EX_cpd00039_e': 0.16005568918009128, 'EX_cpd00011_e': 0.10496449638975225, 'EX_cpd00322_e': 0.11006746743878015, 'EX_cpd00111_e': 0.10496449638975225, 'EX_cpd00028_e': 0.10496449638975225, 'EX_cpd00066_e': 0.10496449638975225, 'EX_cpd01188_e': 0.10496449638975225, 'EX_cpd00357_e': 0.10496449638947589, 'EX_cpd00136_e': 0.10496449638975225, 'EX_cpd03847_e': 0.10496449638975225, 'EX_cpd01080_e': 0.10496449638975225, 'EX_cpd03422_e': 0.10496449638975225, 'EX_cpd00010_e': 0.10496449638975225, 'EX_cpd00264_e': 0.1049644963895978, 'EX_cpd11606_e': 0.1049644963895978, 'EX_cpd00069_e': 0.10496449638975225, 'EX_cpd00060_e': 0.10496449638975225, 'EX_cpd00305_e': 0.1049644963895978}",
B. vulgatus_gapfilled_9,"{'EX_cpd00635_e': 0.27092822205764006, 'EX_cpd00023_e': 0.27092822205718975, 'EX_cpd00224_e': 0.27092822205718975, 'EX_cpd11595_e': 0.27092822205764006, 'EX_cpd01217_e': 0.2709282220574519, 'EX_cpd00027_e': 0.27092822204535616, 'EX_cpd01171_e': 0.27092822205764006, 'EX_cpd00154_e': 0.27092822205764006, 'EX_cpd08306_e': 0.27092822205764006, 'EX_cpd00164_e': 0.27092822205764006, 'EX_cpd00309_e': 0.27092822205745526, 'EX_cpd00280_e': 0.27092822205745526, 'EX_cpd00108_e': 0.27092822205745526, 'EX_cpd00159_e': 0.2709282220570128, 'EX_cpd00540_e': 0.27092822205745526, 'EX_cpd11597_e': 0.27092822205745526, 'EX_cpd08305_e': 0.27092822205745526, 'EX_cpd00396_e': 0.27092822205745526, 'EX_cpd00039_e': 0.27092822205745526, 'EX_cpd00011_e': 0.27092822205745526, 'EX_cpd00322_e': 0.901660196450347, 'EX_cpd00111_e': 0.27092822205745526, 'EX_cpd00028_e': 0.27092822205745526, 'EX_cpd00066_e': 0.27092822205745526, 'EX_cpd01188_e': 0.27092822205745526, 'EX_cpd00357_e': 0.27092822205856787, 'EX_cpd00136_e': 0.27092822205745526, 'EX_cpd03847_e': 0.27092822205745526, 'EX_cpd01080_e': 0.27092822205745526, 'EX_cpd03422_e': 0.27092822205745526, 'EX_cpd00010_e': 0.27092822205745526, 'EX_cpd00264_e': 0.27092822205725314, 'EX_cpd11606_e': 0.27092822205725314, 'EX_cpd00069_e': 0.27092822205745526, 'EX_cpd00060_e': 0.27092822205745526, 'EX_cpd00305_e': 0.27092822205725314}",
